Mon Jul 13 15:09:20 PDT 2015 --  الله اكبر!! نبشركم باسلام بريطانية عبر حملة #مكة_لايف قبل قليل عبر مركزكم .. شكراً لتفاعلكم ..
Mon Sep 03 18:10:18 PDT 2012 --  الكبرياءهو أن تحتفظ بهدوئك في لحظات اليأس وتظهر السعاده للآخرين وانت لا تشعر بهاوتبتسم رغم رغبتك بالإنطواء
Mon Sep 03 18:07:19 PDT 2012 --  ⁺ مجآنينٍ ٱلحب ؛؛ يرؤن مجٱنينً ٱلعقل ٱعقلْ منهمٌ ,
Mon Sep 03 18:05:30 PDT 2012 --  في الغالب لا أحِب معاتبہ احد على قلہ الاهتمام لأن الاهتمام الذي سيأتي بعد العتب سيكون مجاااااااااااااملہ
Sat Sep 01 10:58:20 PDT 2012 --  مما اعجبني .. لتجد امرأة كخديجة، لابد أن تكون رجلاً كمحمد .. #قروب_بنات_وبس #كويت
Fri Aug 31 14:33:19 PDT 2012 --  ‏​مغسلة ملابس في اليابان كاتبة "وجدنا هذه داخل ملابسكم" https://p.twimg.com/A057Xh5CQAAkwDP.jpg … ٱلورقة والكيس والتدبيسة أغلى منها شوفوا الأخلاق والامانة
Sun Sep 02 16:05:02 PDT 2012 --  قبل أن تنام سامح الناس.. فلا تعلم هل أنت المفارق أم هم.. اللهم إني عفوت عمن ظلمني فـ إعفو عني..! #كويت
Mon Sep 03 16:29:25 PDT 2012 --  الهلال يتراجع 26 مركزاً.. والاتحاد يقفز للمركز 118 عالمياً http://sabq.org/Ifnfde 
Sun Sep 02 06:32:32 PDT 2012 --  @fayez_malki ‏​‏​موقع(*) موقع يعلمگ بالوظائف اللي ٺنزل يوميا الموقع مفيد جداً لمن يبحث عن عمل - http://www.wadhefa.com/news/ 
Sun Sep 02 01:57:18 PDT 2012 --  @almohannam صورة أسلم بسببها أشخاص كثير فلا تكن سبب في توقفها !!! ... pic.twitter.com/GV1TKcYd
Sat Sep 01 14:07:29 PDT 2012 --  سحـقـآ لـِ مجتمع .. جـعَل سـب آلوآلدِين مــزحــاً !
Sat Sep 01 06:35:47 PDT 2012 --  فيديو للناجي الوحيد من حادثة #غرقى_وادي_لجب وهو يروي قصة غرق أصدقائه الخمسة http://bit.ly/OFwsjg  #YouTube #السعودية
Sat Sep 01 07:34:18 PDT 2012 --  حِينَ نكونُ مَوجوعين مِن الداخل ؛ نَبكي مِن أشياءَ لا تُسببَ البُكاءِ أصلاً !
Sat Sep 01 00:32:19 PDT 2012 --  @fayez_malki اليوم الساعه 1 الظهرر http://www3.0zz0.com/2012/08/30/03/963209680.gif … هههههههههههه
Fri Aug 31 12:56:28 PDT 2012 --  @___itti__news__ أكثر جماهير في آسيا تصويت http://www.safc.dr-ho.org  صوتو للاتحاد (( ريتووووويت ))
Fri Aug 31 03:50:27 PDT 2012 --  افضل القلوب..قلب لايغيب عنه الصدق. افضل الاشخاص..شخص يحبك في الله. افضل الايام..يوم يمر بلا ذنب. افضل اهداء..دعاء يرفع لك وأنت لاتعلم.
Thu Aug 30 00:23:38 PDT 2012 --  من الاقوال الجميلة : - بعثرة الاصدقاء أكثر حمقاً من بعثرة المال . - إن الذي يبحث عن صديق خال من العيب فأنه سيظل دون صديق مدى الحياة .
Thu Aug 30 00:27:04 PDT 2012 --  اقوال جميلة : - لا يخلو المرء من ودود يمدح وعدو يقدح . - الغضب : هو ريح تهب فتطفئ سراج العقل . - لا تكن حلو فتبلع ولا مرا فتلفظ .
Fri Aug 31 01:57:55 PDT 2012 --  ❜♡ -̅ - لنغمس أروٱحنٱ بٓ ٱلكهف ، كي تعود لنا بالنور دفااقہ♡ http://bit.ly/a2ffpv 
Thu Aug 30 08:55:50 PDT 2012 --  مطول يالحبيب تراك فاهم غلط pic.twitter.com/AeQjrnwu
Wed Aug 29 22:40:46 PDT 2012 --  ⁰ الاحترام لاا يدلل على الحب $ː انماا يدلل على حسن التربيہ ف احترم حتى لو لم تحب ..♡♡
Wed Aug 29 22:40:05 PDT 2012 --  عود نفسك ﺎلفرحة حتى تعتاد هي عليك أشعر نفسك بالأمل حتى تجد ﺎلدنيا بين يديك أقتنع بما لديك حتى يأتيك أكثر مما تتخيل .. أكثر مما تتخيل ​​
Wed Aug 29 22:38:05 PDT 2012 --  ​​​​​لن آغير حيآتي من آجل شخص بل سآغيير آلف شخص من آجل حيآتي ومَن يذهب كآن زائداً ومن يبقى فهو الأهمَ
Wed Aug 29 17:50:29 PDT 2012 --  ترآ من حكآ لگ عن غيرگ ، بـ يحكي لغيرگ عنگ !
Wed Aug 29 17:47:07 PDT 2012 --  أتـحـدث بـعـفـويـه ، أضـحـك بـشـده .. أعـشـق بـصـمـت وأسـامـح بـسـرعـه .. هـكـذا هـي حـيـاتـي!
Mon Aug 27 18:54:27 PDT 2012 --  دام الله مـوجـود لا تـقـول الأمـل مـفـقـود !
Mon Aug 27 17:10:29 PDT 2012 --  http://twitter.com/fff12121/status/240231593405464576/photo/1pic.twitter.com/CrmJdS2X صوره لـ أثبات حساب الفنانه : شمه حمدان بتويتر .. بسبب كثره الأنتحال RT."
Sun Aug 26 05:30:15 PDT 2012 --  اعتزال الفنان فارس مهدي عن الغناء تماما نسأل الله ان يثبته…
Sat Aug 25 21:43:38 PDT 2012 --  #يا_شيعة_العالم_استيقظوا والله أريد لكم الخير والنصح لنجتمع على عقيدة النبي والصحابة وآل البيت تعظيم القرآن واحترام الصحابة ولا غلو في البشر
Sat Aug 25 21:03:46 PDT 2012 --  ودي أسوي محاضرة بعنوان : " سرقة الشواحن وتأثيرها على الترابط الأسري والإجتماعي وكيفية معالجة هذه الظاهرة " هههههه @fayez_malki
Fri Aug 24 02:49:11 PDT 2012 --  @fayez_malkiآحتاج الي شخص افضفض له ثم آذبحه عشان مايعلم احد...()
Thu Aug 23 21:24:58 PDT 2012 --  الخلاصة: من يعرف جهة ترغب تأمين أغذية أدوية حليب أطفال لداخل سوريا..يراسلني..لا آخذ أي مبلغ نقدي..فقط أساعده على التنفيذ..والله يتولى عباده.
Thu Aug 23 18:03:22 PDT 2012 --  البكاء ليس مؤثرا ل [ الضعف ] بل يعني إنك كنت قويا لفترة طويلة جدا
Thu Aug 23 17:51:11 PDT 2012 --  ​لا تناقش من يريد أن يظهرك مخطئاً دائما .. فقط قل له أنت صح و ينتهي الموضوع !!
Thu Aug 23 17:48:56 PDT 2012 --  سيآستي بسيطه جدا ، كن جميلاً معي ، اكون معك اجمل ♡!
Wed Aug 22 19:30:36 PDT 2012 --  الإنحفاض الكبير في أعداد المصلين في المساجد بعد رمضان أمر محزن (رب رمضان هو رب شوال وباقي الأشهر) #بعد_رمضان
Wed Aug 22 16:53:36 PDT 2012 --  عندما يمدحون شخص .. فالكل يصمت ... وعندما يذمونه .. الكل يشارك ..
Wed Aug 22 14:32:04 PDT 2012 --  الحين قدروا يصنعون تليفون بشريحتين ولا قدروا على بطاريتين فعلا هذا الذكاء الغبي :))!
Wed Aug 22 13:55:26 PDT 2012 --  سألت انثى : من هو الرجل بـ نظرك ؟ فقالت : من كان ناصح لي وليس معاقب ومن كان واثق بي وليس مراقب ومن كان رجلا لي وليس علي ;)
Wed Aug 22 13:49:38 PDT 2012 --  آحببتكك ،، آكثثر ممآسمح لي عقلي به آحببتكك ،، حتى آصبحت تملكك جميع آفكآري ، خيآﻵتي ، وحتى جميع آوقآتي. . :-$ ف كل م آفكر به / يتعلق بكك
Wed Aug 22 13:48:13 PDT 2012 --  وراء كل حلم لم يتحقق .. « خـــيرة » لم تُدرك
Wed Aug 22 13:47:17 PDT 2012 --  تستطيع معرفہ االشخص االراقي عندماا ترى ردهہ فعلہ على شخص : ااساء االيہ ♡،*
Wed Aug 22 13:45:51 PDT 2012 --  - لا تبحث عن الحُب اابدا . دعهُ هو من يبحث : ف متى ماا وجدك الحُب لم يتركك ابداا ! *
Wed Aug 22 09:31:34 PDT 2012 --  " @shutt110: @m_sh3ibiii كم رتويت تستاهل هذي الصورة ؟... http://twitter.com/imagestw/status/229933960812171265/photo/1pic.twitter.com/IgHeAeLi  ."
Mon Aug 13 17:22:56 PDT 2012 --  @AmeerahAltaweeL إلاشاعة : يؤلفها الحاقد وينشرها الأحمق ويصدقها الغبي حاول أن لا تكون من هؤلاء الثلاثة .
Tue Aug 21 14:53:48 PDT 2012 --  ندائي للسارق -إن بلغته تغريدتي - أن يعيد الحق لأهله ويتقي دعوة مظلوم تسري في ظلمة الليل.. pic.twitter.com/g8gKBvZQ
Tue Aug 21 14:21:14 PDT 2012 --  نوري كامل مالكي.. عدوّ التوحيد والسنة والصحابة وآل البيت.. لاعق أحذية المجوس.. كان بائع مسابح بضريح السيدة زينب بسوريا! pic.twitter.com/JF0IHEZa
Mon Aug 20 19:36:02 PDT 2012 --  @___itti__news__ @jo_m: : صوتوا للاتحاد ايها الجماهير http://www.easypolls.net/poll.html?p=50329cf7e4b005813dc75e75# …
Mon Aug 20 05:28:43 PDT 2012 --  عدد السنة في إيران الذين تم تنفيذ حكم الاعدام بحقهم خلال 5 سنوات الماضيه يزيد عن 1500 شخص وعدد المعتقلين السنه في السجون يزيد عن 4000 شخص
Sun Aug 19 12:30:46 PDT 2012 --  أبحث في جوالك ، وأختار رقم شخص تجمعك به عداوة ، أرسل له رساله معايدة ، لن ينقص قدرك ، لا والله بل سيرتفع امام نفسك وامامه ، جربها وصفي النيه
Sun Aug 19 22:19:13 PDT 2012 --  گلنآ جينآ على تـسـ ٩ ـعه شهور وگـلنآ في آلمـلتقى يـوم آلحسآب .. لآ تگآبر مآ علـى آلدنيآ غرور آلگـبير ( آلـله ) ومرجعنـآ ترآب ..”
Sun Aug 19 22:17:42 PDT 2012 --  ااريد فقط ان اخبرگ شيء ! انت الآنسآن الوحيد ..♡ الذي لا ﭔمگنني نسيانه عندمااَ اضحگ ، ابگي ، اتتألم أنت فقط ..
Sun Aug 19 22:16:46 PDT 2012 --  ​الكلآم أثنـآء البكآء هو أصدق كـلآم ينطقه الانسآن
Sun Aug 19 19:42:30 PDT 2012 --  أحلى صباح لكم جميعاً.. ربّ اغفر لي ولهم.. وانصر أهلنا في الشام.. وأرنا في الظالمين عجائب قدرتك..
Sun Aug 19 17:41:10 PDT 2012 --  http://www.archive.org/download/TvQuran.com__Athkar/TvQuran.com_athkar_03.mp3 … أذكار الصبــاح
Sun Aug 19 13:43:49 PDT 2012 --  عبده عطيف يشارك جمعية الإحسان في معايدة مرضى جازان http://sabq.org/Cymfde 
Sun Aug 19 08:43:43 PDT 2012 --  لآتقارن نفسك مع أي شخص بالعالم وان فعلت ذلك ‘ فإنك تهين نفسك !
Sun Aug 19 08:36:28 PDT 2012 --  بعض الأصدقآء () فكرھ التأمل في ملآمحھم فقط ، تجلب السعآدھ ♡
Wed Aug 15 03:16:09 PDT 2012 --  اللہم زف اسم " أمي وأبي " إلى السمآء مع قائمة العتقآء من النار ♡
